[Header]
CST_ID,D55509CS7HOWNER_TYP,POWNER_ID,AE02PRODUCT_ID,MT5501GTGA041VPRODUCT_SIZE,55PROC_ID,C5630PPID,EQPT_ID,M5DEM0200
[Body]
PANEL_ID,SLOT_NO,LCD_GROUP_ID,CF_PANEL_ID,CF_PANEL_OX,TFT_PANEL_OX,POL_CF_PROD_ID,POL_CF_LOT_NO,POL_TFT_PROD_ID,POL_TFT_LOT_NO,PS_HEIGHT_ERR_FLG,SHT_JUDGE,DEFECT_CODE,LCD_ASM_PROD_ID,PANEL_JUDGE,ABNORMAL_CF,ABNORMAL_TFT,ABNORMAL_LCD,WORDER_ID,OVER_QTIME_FLG,QTAP_LOT_ID,REP_PROC_CNT,LSC_PROC_CNT,LSC_NG_FLG,PIP_PRINT_NG,PPO_TIME_OVER,PII_NG,PMI_NG,PMO_OVER_BAKE,BOO_OVEROVEN,SDP_NG,LCD_DROP_NG,VAB_NG,MAI_NG,SMO_OVEROVEN,LCI_NG,UVM_AOI_INSPECT,FSA_AOI_NG,FSA_MAC_NG,AB_FINAL_JUDGE_FLG,POL_RWK_CNT,MODEL_NAME,CUT_ID,VERSION_CODE,QR_CODE,SN_NUMBER,Array_LRP_Data,Array_LRP_Gate,CF_IRP_Data,CF_IRP_Gate,CF_FRE_Data,CF_FRE_Gate,Array_REP_Data,Array_REP_Gate,PII_TFT_Data,PII_TFT_Gate,PII_CF_Data,PII_CF_Gate,SLI_Data,SLI_Gate,Before_Aging_OK,Middle_Aging_OK,After_Aging_OK,aging_flag,Demura_OK,Pgamma_OK,Offline_AGN_OK,Offline_Demura_OK,Offline_Pgamma_OK,Dot_Repair_OK,Need_to_Mix_Flag,Need_To_Do_Demura_flag,Need_To_Do_Pgamma_flag,SOR_Mismatch_Flag ,CT1_match_Coordinate_Flag,REPAIR_SUCCESS,Repair_Judge_Code,REPAIR_DEF_CODE,EXT_01,EXT_02,EXT_03,EXT_04,EXT_05,EXT_06,EXT_07,EXT_08,EXT_09,EXT_10,EXT_11,EXT_12,EXT_13,EXT_14,EXT_15,EXT_16,EXT_17,EXT_18,EXT_19,EXT_20,EXT_21,EXT_22,EXT_23,EXT_24,EXT_25,EXT_26,EXT_27,EXT_28,EXT_29,EXT_30
A53340430802,8,555033151AE02,F533D0610402,O,O,220025011970GS,220025011970GS39A33111502002,220025011980GS,220025011980GS39733083009006,,BM,,MT5501GTGA041V,G,,,,C5BP02331602,N,,0,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A53340430802920P1BM5MPT550GT05-3Ver.2.0,,A,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,B,,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
A53370141904,2,555033151AE02,F533D0501906,O,O,220025011970GS,220025011970GS39A33111519007,220025011980GS,220025011980GS39733083009001,,BM,,MT5501GTGA041V,G,,,,C5BP02331602,N,,0,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A53370141904920P1BM5MPT550GT05-3Ver.2.0,,B,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,B,,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,,,,,,0,,,,,,,,0,TMP_TIME_OVER,0,,,,,,,,,,,,,,,,,,,,,,,
A533105D0905,9,555032101AE02,F533908S2205,O,O,220025011970GS,220025011970GS39A33111502002,220025011980GS,220025011980GS39733083009006,,BM,,MT5501GTGA041V,G,,,,C5BP02331602,Y,,1,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A533105D0905920P1BM5MPT550GT05-3Ver.2.0,,,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,,,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,Y,,,,,0,;OK,;GG,;PAD82,,,,GG,0,TMP_TIME_OVER,0,,,,,,,,,,,,,,,,,,,,,,,
A533300F1902,14,555032101AE02,F53390A60702,O,O,220025011970GS,220025011970GS39B33121508002,220025011980GS,220025011980GS39733081516005,,BM,,MT5501GTGA041V,D,,,,C5BP02331602,N,,0,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A533300F1902920P1BM5MPT550GT05-3Ver.2.0,,A,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,B,,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
A53390372505,13,555033151AE02,F533F0461105,O,O,220025011970GS,220025011970GS39B33121519004,220025011980GS,220025011980GS39733081516008,,BM,,MT5501GTGA041V,G,,,,C5BP02331602,N,,0,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A53390372505920P1BM5MPT550GT05-3Ver.2.0,,B,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,B,,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,,,,,,0,,,,,,,,0,TMP_TIME_OVER,0,,,,,,,,,,,,,,,,,,,,,,,
A532S03F0904,3,555033151AE02,F533E0040406,O,O,220025011970GS,220025011970GS39A33111502002,220025011980GS,220025011980GS39733083009006,,BM,,MT5501GTGA041V,G,,,,C5BP02331602,N,,0,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A532S03F0904920P1BM5MPT550GT05-3Ver.2.0,,,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,A,,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
A53360552001,7,555033151AE02,F533E02N1603,O,O,220025011970GS,220025011970GS39A33111502002,220025011980GS,220025011980GS39733083009006,,BM,,MT5501GTGA041V,G,,,,C5BP02331602,N,,0,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A53360552001920P1BM5MPT550GT05-3Ver.2.0,,A,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,B,,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,,,,,,0,,,,,,,,0,TMP_TIME_OVER,0,,,,,,,,,,,,,,,,,,,,,,,
A53330351905,5,555033151AE02,F533E09N2005,O,O,220025011970GS,220025011970GS39B33121508004,220025011980GS,220025011980GS39733081516005,,BM,,MT5501GTGA041V,G,,,,C5BP02331602,N,,0,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A53330351905920P1BM5MPT550GT05-3Ver.2.0,,,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,B,,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,,,,,,0,,,,,,,,0,TMP_TIME_OVER,0,,,,,,,,,,,,,,,,,,,,,,,
A53390390904,4,555032101AE02,F533908L1306,O,O,220025011970GS,220025011970GS39A33111519010,220025011980GS,220025011980GS39733083009004,,BM,,MT5501GTGA041V,D,,,,C5BP02331602,Y,,1,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A53390390904920P1BM5MPT550GT05-3Ver.2.0,,B,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,B,,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,Y,,,,,0,OK;,DD;,PAD81;,,,,DD,0,,0,,,,,,,,,,,,,,,,,,,,,,,
A533305B2102,12,555032101AE02,F533A00L2302,O,O,220025011970GS,220025011970GS39A33111521004,220025011980GS,220025011980GS39733083013008,,BM,,MT5501GTGA041V,G,,,,C5BP02331602,N,,0,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A533305B2102920P1BM5MPT550GT05-3Ver.2.0,,A,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,,,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
A533700G2404,1,555033151AE02,F533F02B2106,O,O,220025011970GS,220025011970GS39B33121228001,220025011980GS,220025011980GS39733081223001,,BM,,MT5501GTGA041V,G,,,,C5BP02331602,N,,0,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A533700G2404920P1BM5MPT550GT05-3Ver.2.0,,C,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,B,,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,,,,,,0,,,,,,,,0,TMP_TIME_OVER,0,,,,,,,,,,,,,,,,,,,,,,,
A53390151805,6,555033151AE02,F533F08A1405,O,O,220025011970GS,220025011970GS39B33121519004,220025011980GS,220025011980GS39733081516008,,BM,,MT5501GTGA041V,D,,,,C5BP02331602,N,,0,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A53390151805920P1BM5MPT550GT05-3Ver.2.0,,B,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,A,,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
A533502L2005,10,555032101AE02,F533A04D2205,O,O,220025011970GS,220025011970GS39A33111519010,220025011980GS,220025011980GS39733083009001,,BM,,MT5501GTGA041V,G,,,,C5BP02331602,N,,0,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A533502L2005920P1BM5MPT550GT05-3Ver.2.0,,,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,,,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
A533300N1402,11,555032101AE02,F533A00C1902,O,O,220025011970GS,220025011970GS39A33111502004,220025011980GS,220025011980GS39733083013001,,BM,,MT5501GTGA041V,G,,,,C5BP02331602,N,,0,,,,,,,,,,,,,,,,,,,0,PT550GT05-3,,2.0,,A533300N1402920P1BM5MPT550GT05-3Ver.2.0,,A,1561;513;434;8657;4887;11142;,867;1823;544;1921;1109;972;,1561;2643;2443;3799;287;2694;,867;412;298;103;65;1841;,A,A,0;0;0;0;0;0;,0;0;0;0;0;0;,0;7;0;11516;11516;0;,0;9;0;10;10;0;,,,N,N,N,N,DEMURA_OK,PGAMMA_OK,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,

